de-hb,Bremen,city,de,🇩🇪,1,38,54082,1,97,30.8,.928,93,79.8,15.2,4,99,,4.2,8.2,12.0,18.5,22,2,2.5,12.2,22.0
fr-ra,Auvergne-Rhône-Alpes,state,fr,🇫🇷,8,310,38547,70,78,31.2,.918,91,83.2,4.2,52,99,,3.8,5.5,12.0,15.8,85,12,28.5,11.2,38.0
fr-na,Nouvelle-Aquitaine,state,fr,🇫🇷,6,200,33012,84,65,30.5,.905,88,82.8,3.8,38,99,,3.5,5.2,11.8,12.2,42,5,45.2,8.5,22.0
fr-oc,Occitanie,state,fr,🇫🇷,6,195,33182,73,68,31.8,.908,89,83.0,3.5,35,99,,3.5,5.0,11.5,11.8,38,8,36.8,10.2,28.0
fr-pd,Pays de la Loire,state,fr,🇫🇷,4,135,35052,32,68,29.8,.912,90,82.5,3.8,22,99,,3.2,4.8,11.2,18.5,28,6,12.5,8.8,15.0
fr-br,Bretagne,state,fr,🇫🇷,3,115,34625,27,62,29.2,.910,89,82.8,4.0,18,99,,3.2,4.5,11.0,15.5,22,3,16.8,7.5,18.0
fr-hf,Hauts-de-France,state,fr,🇫🇷,6,175,29462,32,72,32.5,.888,86,80.5,5.8,28,99,,3.0,5.8,11.5,15.2,42,5,8.5,12.5,22.0
fr-ge,Grand Est,state,fr,🇫🇷,6,180,31725,58,68,30.8,.898,88,81.2,5.5,32,99,,3.2,5.5,11.5,14.8,55,4,32.5,12.8,15.0
fr-paca,Provence-Alpes-Côte dAzur,state,fr,🇫🇷,5,180,35724,31,75,33.5,.912,90,82.5,3.5,28,99,,3.8,5.2,12.0,8.5,35,8,42.2,12.8,12.0
it-vn,Veneto,state,it,🇮🇹,5,195,39818,18,65,30.8,.912,88,83.8,5.5,8,99,,4.0,3.0,9.2,22.8,82,8,24.5,22.5,22.0
it-er,Emilia-Romagna,state,it,🇮🇹,4,180,40725,22,68,31.2,.918,89,83.5,5.8,8,99,,4.2,3.2,9.5,20.2,68,12,15.8,22.2,18.0
it-pm,Piedmont,state,it,🇮🇹,4,150,33842,25,68,31.5,.908,87,83.0,5.2,8,99,,3.8,3.0,9.0,20.5,55,6,35.8,22.8,32.0
it-ts,Tuscany,state,it,🇮🇹,4,135,36182,23,70,31.8,.912,88,83.5,5.0,8,99,,4.0,3.2,9.2,15.2,52,5,50.8,15.5,22.0
it-lz,Lazio,state,it,🇮🇹,6,215,37205,17,72,33.5,.908,87,82.8,4.5,12,99,,4.5,3.5,10.0,8.2,28,18,25.2,18.5,18.0
it-cm,Campania,state,it,🇮🇹,6,130,22542,14,65,35.8,.862,78,81.2,4.0,8,98,,2.5,2.8,8.5,8.5,12,3,28.5,18.2,28.0
it-si,Sicily,state,it,🇮🇹,5,105,21182,26,60,35.2,.858,75,81.0,3.8,8,98,,2.2,2.5,8.2,6.2,8,2,10.5,15.2,35.0
es-md,Madrid,city,es,🇪🇸,7,280,41525,8,96,33.8,.925,94,84.5,4.2,18,99,,4.8,3.2,11.8,8.5,42,18,22.0,10.5,18.0
es-an,Andalusia,state,es,🇪🇸,9,190,22042,87,68,33.2,.878,85,82.5,4.0,12,97,,3.5,2.8,10.2,8.5,35,5,54.5,12.2,38.0
es-vc,Valencia,state,es,🇪🇸,5,140,28182,23,72,32.5,.898,90,83.2,4.2,8,98,,3.8,3.0,10.5,12.8,32,4,52.8,10.8,22.0
es-ga,Galicia,state,es,🇪🇸,3,82,29542,30,68,30.2,.892,88,83.0,5.5,5,98,,3.5,3.2,10.0,15.5,22,2,68.8,8.5,55.0
es-pv,Basque Country,state,es,🇪🇸,2,92,42182,7,86,28.5,.935,93,84.0,4.8,5,99,,4.5,3.5,11.5,22.5,28,4,55.2,9.2,22.0
gb-en,England,state,gb,🇬🇧,56,2680,47658,130,83,34.8,.928,95,80.5,5.0,130,99,,2.8,2.5,11.8,8.5,380,55,13.0,9.5,42.0
gb-sc,Scotland,state,gb,🇬🇧,5,220,41052,79,83,32.5,.918,93,79.0,5.5,18,99,,3.0,3.8,12.5,8.2,42,8,18.5,6.8,85.0
gb-wl,Wales,state,gb,🇬🇧,3,95,30182,21,82,31.8,.905,90,79.5,5.2,8,99,,2.8,3.2,11.2,12.5,18,3,15.2,7.2,52.0
gb-ni,Northern Ireland,state,gb,🇬🇧,2,65,33825,14,68,30.5,.908,91,80.0,5.8,5,99,,2.5,3.5,10.8,11.2,12,2,8.5,6.5,45.0
gb-mn,Greater Manchester,city,gb,🇬🇧,3,95,35182,1,98,35.5,.918,94,79.5,4.5,8,99,,3.0,2.5,11.5,8.5,,,15.0,10.5,28.0
jp-os,Osaka Metro,city,jp,🇯🇵,19,580,30118,2,99,30.8,.942,95,82.5,5.5,68,99,,2.5,12.8,11.5,18.2,,,36.5,12.8,12.0
jp-ai,Aichi,state,jp,🇯🇵,8,450,59842,5,92,30.2,.945,94,83.5,8.2,52,99,,2.8,11.5,11.0,28.5,155,8,42.8,11.2,12.0
jp-fk,Fukuoka,state,jp,🇯🇵,5,225,43182,5,78,30.5,.932,93,82.8,5.8,35,99,,2.8,13.5,11.2,11.5,42,5,48.2,12.5,15.0
jp-hk,Hokkaido,state,jp,🇯🇵,5,215,40542,83,72,31.2,.928,91,82.0,6.8,28,99,,2.5,11.8,11.0,8.5,18,2,71.2,8.2,28.0
ca-on,Ontario,province,ca,🇨🇦,15,920,60205,1077,87,33.8,.940,96,82.5,12.8,58,99,,2.8,2.5,12.5,11.8,235,28,66.5,6.8,55.0
ca-qc,Quebec,province,ca,🇨🇦,9,480,54782,1542,82,31.5,.932,94,82.8,10.5,48,99,,2.6,3.0,11.8,13.5,85,12,45.8,6.2,98.0
ca-bc,British Columbia,province,ca,🇨🇦,5,360,68542,945,87,33.2,.938,95,83.0,10.2,28,99,,2.5,2.2,12.0,6.8,48,8,57.8,5.8,92.0
ca-ab,Alberta,province,ca,🇨🇦,5,350,75182,662,84,32.8,.935,94,82.0,62.5,28,99,,2.5,2.2,11.8,8.5,115,12,38.5,7.2,12.0
ca-ns,Nova Scotia,province,ca,🇨🇦,1,52,50842,55,58,32.5,.918,90,81.5,12.8,12,99,,2.5,2.8,12.5,5.8,5,1,77.5,4.8,35.0
ca-mb,Manitoba,province,ca,🇨🇦,1,82,55182,650,73,33.2,.915,89,80.5,18.5,8,99,,2.2,2.5,12.0,9.2,15,2,14.2,7.5,42.0
ca-sk,Saskatchewan,province,ca,🇨🇦,1,88,72542,652,67,32.8,.912,88,80.0,55.2,5,99,,2.0,2.8,11.5,5.5,28,3,10.5,6.5,35.0
nl-nh,North Holland,province,nl,🇳🇱,3,145,52182,3,92,27.5,.945,98,82.0,7.8,8,99,,3.5,3.2,11.5,8.2,85,25,8.5,10.5,18.0
nl-zh,South Holland,province,nl,🇳🇱,4,165,42542,3,95,28.2,.935,97,81.5,8.5,12,99,,3.2,3.0,11.2,12.5,125,22,5.8,11.2,22.0
se-st,Stockholm Region,city,se,🇸🇪,3,180,68542,7,96,30.5,.955,98,83.5,3.2,12,99,,4.5,2.2,11.8,6.5,48,12,72.5,6.8,55.0
ru,Russia,country,,🇷🇺,146,2240,15376,17098,75,36.0,.822,85,73.2,11.8,1100,100,488,4.0,8.1,7.1,13.2,520,25,49.8,14.2,20.5
ru-ms,Moscow,city,ru,🇷🇺,13,480,36842,3,99,38.5,.892,95,77.5,5.2,125,100,,5.5,8.5,8.2,8.5,,,54.0,12.5,8.0
ru-sp,St Petersburg,city,ru,🇷🇺,5,120,23518,1,100,35.2,.878,92,76.8,5.8,82,100,,5.2,8.2,7.8,12.8,,,52.5,14.2,5.0
cl,Chile,country,,🇨🇱,20,335,16875,756,88,44.9,.855,82,80.2,4.5,62,97,423,2.6,2.1,9.1,10.5,98,20,24.1,21.2,48.0
co,Colombia,country,,🇨🇴,52,363,7000,1142,82,51.3,.752,73,77.3,1.8,375,95,412,2.2,1.7,7.6,11.2,55,17,52.2,18.5,68.5
pe,Peru,country,,🇵🇪,34,268,7882,1285,78,41.5,.762,65,76.5,1.8,143,94,404,1.3,1.6,5.2,12.5,65,8,57.8,22.8,52.0
pk,Pakistan,country,,🇵🇰,230,374,1628,882,37,29.6,.544,36,67.3,0.9,235,58,,1.0,0.6,3.2,12.4,32,2,4.8,55.2,32.0
bd,Bangladesh,country,,🇧🇩,170,460,2709,148,39,32.4,.661,40,72.4,0.5,165,74,,0.7,0.8,2.6,22.8,55,3,11.2,58.2,3.5
et,Ethiopia,country,,🇪🇹,126,156,1238,1104,22,35.0,.492,25,66.6,0.2,65,52,,0.1,0.3,3.5,5.2,5,4,15.5,28.5,92.0
ke,Kenya,country,,🇰🇪,56,113,2019,580,28,40.8,.575,32,61.4,0.4,82,82,,0.2,1.4,4.6,7.5,8,1,7.8,18.5,75.0
gh,Ghana,country,,🇬🇭,33,75,2262,239,58,43.5,.602,48,64.0,0.6,42,79,,0.1,0.9,3.5,9.2,18,3,41.2,32.5,42.0
tz,Tanzania,country,,🇹🇿,65,75,1157,947,36,40.5,.529,20,66.2,0.2,55,78,,0.0,0.7,3.8,5.8,5,1,52.5,22.2,85.0
cr,Costa Rica,country,,🇨🇷,5,68,13242,51,81,48.2,.806,81,80.8,1.8,65,98,,2.5,1.1,7.8,12.5,18,3,54.0,15.5,98.0
uy,Uruguay,country,,🇺🇾,4,72,20580,176,96,39.7,.830,87,78.0,2.1,18,99,,5.1,2.8,9.8,11.2,12,3,11.2,8.5,92.0
pa,Panama,country,,🇵🇦,4,77,17762,75,68,49.2,.805,72,79.2,2.8,22,95,,1.8,2.3,7.2,5.8,22,8,65.4,12.2,68.0
ec,Ecuador,country,,🇪🇨,18,115,6418,257,64,45.5,.740,65,77.0,2.3,62,93,,2.0,1.5,8.5,12.2,28,1,50.5,15.8,52.0
cz-pr,Prague,city,cz,🇨🇿,1,82,65542,1,100,25.8,.928,93,80.5,6.5,12,99,,4.5,6.8,9.8,8.5,,,11.2,15.2,8.0
pl-mz,Masovia (Warsaw),city,pl,🇵🇱,6,148,26042,36,65,30.2,.908,92,79.5,7.5,52,99,,3.8,6.2,7.2,12.5,,,31.0,22.5,12.0
hu-bp,Budapest,city,hu,🇭🇺,2,82,42542,1,100,31.2,.882,92,77.5,4.2,22,99,,3.8,7.2,7.5,9.5,,,24.0,18.5,8.0
ro-bh,Bucharest,city,ro,🇷🇴,2,72,36542,0,100,35.5,.868,90,78.0,3.8,18,99,,3.5,7.0,6.5,12.5,,,18.0,18.2,15.0
at-vi,Vienna,city,at,🇦🇹,2,128,66542,0,100,30.2,.942,96,81.5,5.2,18,99,,5.5,7.5,12.0,8.5,25,12,21.5,12.8,38.0
